"","X1","network","perm","aic","type"
"164",164,"M_PL_041","rds",-95.3102857142816,"HP_NS"
"165",165,"M_PL_042","rds",0.042501872828615,"HP_S"
"166",166,"M_PL_042","rds",-4.21896829145396,"PH_NS"
"167",167,"M_PL_042","rds",-0.00613026774490866,"PH_S"
"168",168,"M_PL_042","rds",85.61547642305,"HP_NS"
"169",169,"M_PL_043","rds",-0.00228395983856147,"HP_S"
"170",170,"M_PL_043","rds",7.58078150275549,"PH_NS"
"171",171,"M_PL_043","rds",0.00404252315627718,"PH_S"
"172",172,"M_PL_043","rds",-13.3372982343072,"HP_NS"
"173",173,"M_PL_045","rds",-0.00787327450851716,"HP_S"
"174",174,"M_PL_045","rds",-2.71481215805349,"PH_NS"
"175",175,"M_PL_045","rds",-0.0030116448156402,"PH_S"
"176",176,"M_PL_045","rds",-20.7270357749377,"HP_NS"
"177",177,"M_PL_046","rds",0.000940804110019219,"HP_S"
"178",178,"M_PL_046","rds",2.39115617855774,"PH_NS"
"179",179,"M_PL_046","rds",0.00162880660893698,"PH_S"
"180",180,"M_PL_046","rds",3.96790263422065,"HP_NS"
"181",181,"M_PL_047","rds",0.00109230218950462,"HP_S"
"182",182,"M_PL_047","rds",-1.12515270155799,"PH_NS"
"183",183,"M_PL_047","rds",-0.00039275781498873,"PH_S"
"184",184,"M_PL_047","rds",8.80340017687422,"HP_NS"
"185",185,"M_PL_048","rds",0.000384784684481873,"HP_S"
"186",186,"M_PL_048","rds",3.35983799649193,"PH_NS"
"187",187,"M_PL_048","rds",0.00093667516931694,"PH_S"
"188",188,"M_PL_048","rds",3.98800523938735,"HP_NS"
"189",189,"M_PL_049","rds",-0.000639186504717448,"HP_S"
"190",190,"M_PL_049","rds",-1.71753259609866,"PH_NS"
"191",191,"M_PL_049","rds",-0.000486524051545881,"PH_S"
"192",192,"M_PL_049","rds",-6.24159874854263,"HP_NS"
"193",193,"M_PL_050","rds",0.0179629670173668,"HP_S"
"194",194,"M_PL_050","rds",3.78146955569076,"PH_NS"
